Year,Reason,Solar Curtailment (MWh),Wind Curtailment (MWh),Total Curtailment (MW) (MWh)
2022,Local,1227014.730889243,76022.13999578013,954950.3247903304
2022,System,341965.78606618725,21387.670388244434,333280.8273103357
2023,Local,1973257.322774227,97437.39726475115,1432026.0254785789
2023,System,535666.0641002986,53165.01219845952,567646.2212069083
2024,Local,2959512.517481692,192742.34178718636,2354669.643505945
2024,System,233087.4243723339,38034.30303751336,241884.27862790725
2025,Local,1141563.3509748902,70895.76961721489,962273.6300301505
2025,System,310209.39532516006,29134.3581151009,333936.4700371957
