datetime,LMP_NP15,Total_Curtailment_NP15_MW
2024-01-21 13:00,48.51366,0.0
2024-01-21 14:00,46.87847,0.0
2024-01-21 15:00,49.65712,0.0
2024-01-21 16:00,46.55004,0.0
2024-01-21 17:00,44.51919,0.0
2024-01-21 18:00,43.46617,10.314088027224361
2024-01-21 19:00,42.94999,15.855194760221814
2024-01-21 20:00,41.29258,0.0
2024-01-21 21:00,42.79729,0.0
2024-01-21 22:00,43.25832,0.0
2024-01-21 23:00,45.22535,2.3000000920000003
2024-01-22 00:00,58.05933,0.0
2024-01-22 01:00,62.78217,0.0
2024-01-22 02:00,61.68907,0.0
2024-01-22 03:00,58.8756,0.0
2024-01-22 04:00,58.29619,0.0
2024-01-22 05:00,56.88997,0.0
2024-01-22 06:00,51.9343,0.0
2024-01-22 07:00,48.95015,0.0
