datetime,LMP_NP15,Total_Curtailment_NP15_MW
2024-04-06 13:00,37.22053,46.676324548
2024-04-06 14:00,40.0,621.0799589012385
2024-04-06 15:00,26.31752,944.6076813879225
2024-04-06 16:00,29.62368,1863.922479109261
2024-04-06 17:00,26.62483,1745.102680266621
2024-04-06 18:00,21.70842,1241.9081243496257
2024-04-06 19:00,22.28583,1234.6984624496865
2024-04-06 20:00,19.78,1339.326971012543
2024-04-06 21:00,20.72932,1415.6661613828908
2024-04-06 22:00,24.20799,1503.9861614200715
2024-04-06 23:00,11.52302,1407.1479559429943
2024-04-07 00:00,25.08836,994.2056111611286
2024-04-07 01:00,31.17808,48.6182837334789
2024-04-07 02:00,39.77186,0.0
2024-04-07 03:00,40.35818,0.0
2024-04-07 04:00,40.09941,0.0
2024-04-07 05:00,38.73992,0.0
2024-04-07 06:00,38.63909,0.0
2024-04-07 07:00,46.6295,0.0
2024-04-07 08:00,46.00609,4.1880004
2024-04-07 09:00,42.8153,0.0
2024-04-07 10:00,42.83,0.0
2024-04-07 11:00,43.40102,0.0
2024-04-07 12:00,45.60972,0.0
2024-04-07 13:00,45.97787,40.529676617999996
2024-04-07 14:00,39.01543,490.7232618008267
2024-04-07 15:00,27.45697,804.078748384222
2024-04-07 16:00,30.88039,1055.9304692978726
2024-04-07 17:00,28.62759,1276.136025010301
2024-04-07 18:00,22.67792,1390.4145936585007
2024-04-07 19:00,23.59454,1199.9684688540256
2024-04-07 20:00,18.2,1367.8995454572123
2024-04-07 21:00,20.02,1473.9469724700757
2024-04-07 22:00,19.11441,1426.9982814468224
2024-04-07 23:00,31.481,1060.427060323531
2024-04-08 00:00,31.59567,636.2347063759383
2024-04-08 01:00,36.62649,22.579465306397886
2024-04-08 02:00,41.99397,0.0
2024-04-08 03:00,48.35025,0.0
2024-04-08 04:00,42.47493,0.0
2024-04-08 05:00,40.1528,0.0
2024-04-08 06:00,40.45991,0.0
2024-04-08 07:00,35.50362,0.0
