Date,Local,System
2022-04-01,10148.356593285032,322.18936454996
2022-04-02,9632.52882354626,12954.765747553902
2022-04-03,9461.517373706334,7757.706849948539
2022-04-04,13201.477740449898,69.87086171666667
2022-04-05,16189.953263515008,7090.779963276203
2022-04-06,13381.036666584789,122.24793263229608
2022-04-07,8338.24517258949,8.553785215
2022-04-08,4316.410355432145,14.360949233333502
2022-04-09,38225.58106978229,92.971945531531
2022-04-10,33885.84410476721,2188.9823009227885
2022-04-11,9266.844679439388,41.42723607695053
2022-04-12,42639.57961170799,134.0787986155384
2022-04-13,31569.607872154746,1768.913643004398
2022-04-14,24774.40275261599,25.670128686666665
2022-04-15,29602.96143904045,17.569578560256016
2022-04-16,27161.15697809975,1751.4578739558067
2022-04-17,39963.23233290864,1678.2463468502142
2022-04-18,15735.1259589512,17.838789680834083
2022-04-19,11725.970080270814,7.463643013333333
2022-04-20,20471.629044227248,133.36216776105564
2022-04-21,17991.130005951298,12.377926278333334
2022-04-22,9580.657438324695,38.25667284224774
2022-04-23,9345.77219582271,21874.135867548313
2022-04-24,11959.218576951667,7.6399738825
2022-04-25,5210.67921992929,12.0783352808337
2022-04-26,4414.501468376705,1001.0275251664624
2022-04-27,12541.203090449451,2122.933555045783
2022-04-28,20057.07875476703,5754.361923398855
2022-04-29,11959.111322928831,60.65651616702718
2022-04-30,8533.845201182077,7808.6247178551375
2022-05-01,27885.76038190383,16898.581963654044
2022-05-02,14248.182963651048,1099.5213287582196
2022-05-03,13159.74442908094,144.7555797830025
2022-05-04,6488.262471944798,7.120833879166666
2022-05-05,6386.307573789459,18.437810589166673
2022-05-06,9436.17362655813,87.20552670444059
2022-05-07,14031.503507388212,15006.80199029846
2022-05-08,28432.557451172204,2721.562459699319
2022-05-09,24242.173556392747,11061.26634948085
2022-05-10,15819.15084236507,2323.3218734760685
2022-05-11,40332.97902109967,103.42603341163247
2022-05-12,20788.27210550775,100.621499315
2022-05-13,6534.7777061298475,21.634036934999997
2022-05-14,5610.145024483277,99.76838272473816
2022-05-15,3888.1844504610126,175.01499765008367
2022-05-16,4286.490632528088,84.82326840315064
2022-05-17,7304.915147880963,159.77665530367847
2022-05-18,4486.495512767267,39.15123554073387
