Hour,lmp_energy,lmp_congestion,total_lmp
0,42.183379402985075,-0.4160743880597015,40.77698874626866
1,40.57465904761905,-0.3539316964285714,39.353757232142854
2,39.49798437125748,-0.30422200598802396,38.40783904191617
3,39.17999334328358,-0.31073217910447765,38.109218358208956
4,40.37026817910448,-0.3089522388059701,39.23972089552239
5,44.53088585074627,-0.36588053731343284,43.30042704477612
6,46.619453791044776,-0.3860428059701493,45.39128558208955
7,37.461918149253734,1.9988631940298505,39.488241552238804
8,25.501525104477608,7.760432268656717,33.372243970149256
9,20.475863999999998,10.072749611940297,30.593669820895524
10,18.083991701492536,9.923333910447761,28.06786453731343
11,16.671540059701492,9.489904149253732,26.21306546268657
12,15.545129880597015,9.414485492537313,24.980596208955223
13,15.798521552238805,9.659328925373135,25.474170268656717
14,18.100946298507463,9.373541552238805,27.475067820895525
15,25.229730597014925,6.658964597014925,31.901238208955224
16,35.01051462686567,3.227814328358209,37.97045976119403
17,45.76573659701492,0.5380292537313432,45.73796591044776
18,59.28852925373134,-1.7025828358208954,56.32285205970149
19,70.56120988059702,-1.62786023880597,67.09005110447761
20,59.79190668656717,-0.7934689552238806,57.47775919402986
21,53.28954244776119,-0.9441608955223881,50.89012665671642
22,48.06045373134329,-0.7331071343283582,46.01100014925373
23,44.496780895522384,-0.5010919104477612,42.82018050746269
