Date,Solar Curtailment (MWh),Wind Curtailment (MWh)
2020-01-01,6405.055924967576,416.99553405414946
2020-01-02,2996.7146605443677,74.28053125420519
2020-01-03,1420.6697532470084,11.917087963212708
2020-01-04,1665.2136632840684,2.8914999933333334
2020-01-05,1632.657415962944,0.0
2020-01-06,5827.46432384129,323.5617572233306
2020-01-07,3872.7671319044534,73.89916102952577
2020-01-08,5053.168220767413,1098.6405108601246
2020-01-09,3294.449782934999,772.3275091647432
2020-01-10,2120.4949036536136,6.111755974166666
2020-01-11,10753.704775365077,1288.1662602952883
2020-01-12,7763.254326131743,151.01500779027376
2020-01-13,4210.448132884881,306.3155630188354
2020-01-14,5048.3164549210915,351.13157843687316
2020-01-15,3251.673282487502,0.47083334
2020-01-16,3240.1556490470452,158.9229481250842
2020-01-17,3506.7523184194324,382.8787855256578
2020-01-18,4879.4034319586335,110.66917889999999
2020-01-19,3530.4244202913696,358.8108987500669
2020-01-20,266.28033249662235,78.80438066503733
2020-01-21,1425.3985805743878,387.54618264981815
2020-01-22,3380.842054569474,95.57544711583333
2020-01-23,6919.593668363601,131.6995313643403
2020-01-24,1946.7922908097091,17.543775432751968
2020-01-25,3113.238486893292,14.901672746666666
2020-01-26,1747.167989655086,160.86901215083333
2020-01-27,4734.289144230677,13.143333328333332
2020-01-28,6788.0899911852875,61.928434721969346
2020-01-29,4490.007002760089,486.3617779652672
2020-01-30,6542.152315021569,192.9196227267756
2020-01-31,8242.918646841432,402.26414238649994
2020-02-01,7300.408114811084,220.71332711221066
2020-02-02,10410.408200072547,420.5150136419416
2020-02-03,1790.1375387599062,317.32477423907403
2020-02-04,7707.773183338968,500.68180188107584
2020-02-05,2612.6057811683577,16.94563194186505
2020-02-06,3933.4950426880755,47.622243733751766
2020-02-07,5395.733641537524,8.494166730833333
2020-02-08,12620.413896732794,417.83023597957657
2020-02-09,3866.997387801367,289.5099295735429
2020-02-10,612.2904451693564,45.92253404399992
2020-02-11,3177.9297017878484,277.25587483666607
2020-02-12,3099.3186478625144,41.09417882333333
2020-02-13,5344.729342707492,60.225018166666665
2020-02-14,5535.630671970268,13.186672795833333
2020-02-15,5823.523148265516,50.60285144833333
2020-02-16,11558.022579213684,439.1812240672054
2020-02-17,3057.3112029649456,53.00764259310053
2020-02-18,3578.990386722008,0.0
2020-02-19,4047.4583586391873,11.939501246532874
2020-02-20,1180.7135178099088,97.23689042277843
2020-02-21,2390.82588190997,90.30145194560555
2020-02-22,59.64756031621003,21.07138073596458
2020-02-23,13674.511660547525,492.7541425848708
2020-02-24,2790.121223405676,80.67884574076629
2020-02-25,7220.348316793903,314.7257338480811
2020-02-26,4713.551442863753,814.4093027317674
2020-02-27,2499.279607442862,442.028363024437
2020-02-28,312.4844919296044,0.21999999916666665
2020-02-29,13898.074949897811,1260.1828190112287
2020-03-01,3928.0762632682213,1334.5332551050997
2020-03-02,2324.4520616800937,134.32859912641408
2020-03-03,5001.033634907872,352.28105932707047
2020-03-04,948.7427118224269,0.30166666750000004
2020-03-05,2335.9278065038607,107.08179899877493
2020-03-06,147.64055930201158,1.72133325
2020-03-07,433.04380707166297,1.8801345028951832
2020-03-08,6224.476192954533,1034.8379817906248
2020-03-09,1260.583415723246,3.007646350937821
2020-03-10,94.78461994566115,0.5466664166666658
2020-03-11,1009.6706617656295,0.42916667416666665
2020-03-12,453.86131340548695,160.48780593217833
2020-03-13,1798.0388057928787,756.1977314417874
2020-03-14,2423.1600894549742,319.50182189778536
2020-03-15,7459.882985556705,1167.0218454488402
2020-03-16,4140.8652860662205,872.8454688782606
2020-03-17,707.6812009858535,97.04436039073637
2020-03-18,286.6288542266754,178.78483660748904
2020-03-19,1198.164282786001,256.1315600367001
2020-03-20,2901.9887175293525,5.4808333424999995
2020-03-21,763.4102860087924,13.557875136760567
2020-03-22,1761.4186331985331,9.160833275833333
2020-03-23,8347.699144659044,1102.0627651553168
2020-03-24,9300.990226588616,904.6023447591532
2020-03-25,2456.4416451251172,172.5126038614083
2020-03-26,22357.337215074826,1549.60911438769
2020-03-27,21161.314408463582,1462.826905385709
2020-03-28,11507.099002361587,17.677749881666667
2020-03-29,25123.96511469571,1120.1666362055814
2020-03-30,16260.872988792427,157.82552980756984
2020-03-31,1648.6032396427563,18.60608322
2020-04-01,27772.012994715726,611.0014882805499
2020-04-02,25845.62377530552,572.0336765344077
2020-04-03,21260.051457023255,475.2753041569427
2020-04-04,21076.239122879244,457.42215574837934
2020-04-05,7287.402502358995,853.7950769990474
2020-04-06,5935.027931053922,335.34797508840694
2020-04-07,3381.9658046601976,68.99885429772898
2020-04-08,2424.814976338851,159.3909076808282
2020-04-09,4981.3176738527345,4.344172786666666
2020-04-10,377.8384486431098,61.933239160902616
2020-04-11,19206.234750355914,344.58476448441616
2020-04-12,15053.787947660356,242.55527962490584
2020-04-13,4376.807116443371,97.89024575119751
2020-04-14,13766.0294149082,114.54591818178959
2020-04-15,12168.95888338402,11.73833169419589
2020-04-16,19684.99265330514,424.49219558597923
2020-04-17,1707.8841462973403,1608.5067666068676
2020-04-18,3604.0668839109094,219.16378117404054
2020-04-19,23588.41430482601,390.2482550520493
2020-04-20,11380.457873325979,250.90639742905933
2020-04-21,19248.54402302055,373.7193672310217
2020-04-22,10830.88515242877,55.17913692360524
2020-04-23,4800.4592998511325,10.662083275833332
2020-04-24,2048.778915233598,0.0
2020-04-25,1741.0358093814411,0.0
2020-04-26,1982.844296589573,86.05867288748642
2020-04-27,9627.149506105787,197.53012373817626
2020-04-28,1605.2349801323535,0.24166666666666664
2020-04-29,1067.1126893535284,0.3749587542721
2020-04-30,11971.362686569779,612.7159238155468
2020-05-01,12929.5294621768,8079.621716123808
2020-05-02,20363.380634405963,653.1329380959418
2020-05-03,28302.2318493057,994.0102185255112
2020-05-04,1832.2598005151162,43.154890794316266
2020-05-05,1511.9809429239328,160.274994745178
2020-05-06,4822.93603264364,42.840641890000214
2020-05-07,1020.4270730040232,4.1473694222335125
2020-05-08,1617.1953843699664,2.390567650850488
2020-05-09,1048.1011048514245,4.59236916336405
2020-05-10,2830.9838680194366,160.00185893376755
2020-05-11,3081.4292135435244,95.01466017930949
2020-05-12,1908.878355719839,24.756578902523533
2020-05-13,14036.377072462468,144.43552344539452
2020-05-14,4503.886789706695,0.0
2020-05-15,4580.243175841022,68.52097476444544
2020-05-16,1843.7931414762643,43.88425261346966
2020-05-17,2483.5324539091234,27.94337949387779
2020-05-18,754.3126591886687,14.960812305811748
2020-05-19,20891.94417630977,551.3762092461019
2020-05-20,26212.72884098461,294.7879374518146
2020-05-21,12174.364778932559,99.46638136683902
2020-05-22,15924.919807721591,650.1938616585571
2020-05-23,20748.20475251765,400.5034419042127
2020-05-24,14084.983011975375,56.53208358916666
2020-05-25,8039.189580272453,21.14649973583333
2020-05-26,1739.8205416298404,0.6000060833333333
2020-05-27,1107.6735375296644,0.0
2020-05-28,570.24437254313,1.658583333333333
2020-05-29,1884.7830355873573,462.64260924835645
2020-05-30,1148.8627095251802,20.453332571305722
2020-05-31,8050.352268948096,156.95283477249998
2020-06-01,420.50849409793284,6.731539923804567
2020-06-02,628.3783539509272,0.0
2020-06-03,562.2394136960085,0.0
2020-06-04,620.8756859969806,8.233365166666665
2020-06-05,553.8477176938443,23.10800012333333
2020-06-06,34970.63394009586,2422.7272837147775
2020-06-07,53079.31610936704,3197.3353482307507
2020-06-08,18434.78106390777,302.6138349747074
2020-06-09,7665.714533077834,112.41411854479519
2020-06-10,1481.8637635327464,28.024051011863694
2020-06-11,597.5501504937963,0.0
2020-06-12,888.3743716052355,9.778457852423246
2020-06-13,26295.121484052,1007.4617217253765
2020-06-14,27471.250905955876,791.2338461911727
2020-06-15,592.5695668525508,22.37024027291408
2020-06-16,5013.438090065664,231.8767647316511
2020-06-17,2306.4945649889355,139.59527934510936
2020-06-18,777.8296495776254,0.0
2020-06-19,814.4505443787305,1.6403334983333333
2020-06-20,687.6876394968783,6.317747696105158
2020-06-21,5291.009240864654,267.1375107942496
2020-06-22,947.9244522783603,0.0
2020-06-23,723.1617018011789,0.0
2020-06-24,882.5413461508773,6.974166525833333
2020-06-25,913.9484717217629,1.2083394166666666
2020-06-26,848.6273850377204,0.0
2020-06-27,917.2660517100098,2.1372497541160413
2020-06-28,1055.467538361305,38.51300210318595
2020-06-29,1129.3521870198938,22.320001067499998
2020-06-30,1187.214066970868,1.4916727499999998
2020-07-01,1036.0178918451704,1.8326666808333332
2020-07-02,1043.7946705179672,10.059531753199575
2020-07-03,1171.273407775526,0.0
2020-07-04,1651.2492762115924,52.68044210442038
2020-07-05,1488.5185778746645,44.69042035885013
2020-07-06,1070.1422772936849,44.653540177026336
2020-07-07,1267.2861971153009,86.51814788479737
2020-07-08,990.105751912912,0.9333333349999999
2020-07-09,911.0869977000331,29.063010138077527
2020-07-10,1417.95336567993,0.0
2020-07-11,699.2624509360651,12.741860098934673
2020-07-12,826.5736330626228,21.05835537651874
2020-07-13,787.6021735765416,0.0
2020-07-14,1033.4190111354428,0.34438357178243334
2020-07-15,830.4685373166662,0.0
2020-07-16,830.3499959759179,0.0
2020-07-17,810.4116796497784,391.31166445580766
2020-07-18,885.3834977523431,10.37229519474155
2020-07-19,923.0619547384842,0.0
2020-07-20,581.2071834823608,580.4464840101401
2020-07-21,612.7020911590314,0.0
2020-07-22,808.4255946473653,62.24001920583333
2020-07-23,772.5108622391336,0.0
2020-07-24,704.2480062721156,188.8541255717298
2020-07-25,926.1631121138477,0.4708335833333317
2020-07-26,701.2950446973782,3.160556549628913
2020-07-27,627.8486295088791,0.0
2020-07-28,1839.399272003253,8.743345513333333
2020-07-29,744.1125643568415,0.0
2020-07-30,636.6950194862613,7.439375333333333
2020-07-31,680.8808450032077,0.0
2020-08-01,624.5613216298193,23.569333325
2020-08-02,623.564548997267,97.15107661872683
2020-08-03,521.8433782439793,0.26583941666666666
2020-08-04,624.2473738075057,0.0
2020-08-05,649.1546114586171,0.0
2020-08-06,672.1384418661568,0.0
2020-08-07,688.7490152599557,0.0
2020-08-08,779.136724226047,0.0
2020-08-09,1039.5157381444155,15.961250457499998
2020-08-10,708.221189838972,4.096666430833333
2020-08-11,659.1796491477979,10.912472301522458
2020-08-12,825.2976059109179,11.501255845833334
2020-08-13,447.42951997576637,25.182281180028507
2020-08-14,553.5890235038793,0.0
2020-08-15,541.0990104456502,0.0
2020-08-16,451.81352633269074,0.7541667358333333
2020-08-17,339.68758899810814,7.5497529100112075
2020-08-18,222.17257932110786,1.8425121658333332
2020-08-19,836.9577638691882,216.38397303128983
2020-08-20,519.0428792743978,1.7099999166666664
2020-08-21,438.0918729059622,0.0
2020-08-22,104.38358059490047,1.8307577145410108
2020-08-23,216.1567619696377,0.0
2020-08-24,510.9908418625618,1.1012499999999998
2020-08-25,463.21631810441454,0.31375007666666666
2020-08-26,420.37872449022063,5.089999611666666
2020-08-27,2414.0388513617727,1.7366727358333334
2020-08-28,1200.990726485298,0.0
2020-08-29,794.9746657898376,2.9666664999999997
2020-08-30,3230.3839748185233,100.06275048333333
2020-08-31,552.025039922381,0.64221585687632
2020-09-01,523.8964107103264,0.0
2020-09-02,568.7893723395623,0.0
2020-09-03,566.2833924817459,0.0
2020-09-04,585.5142580670282,0.0
2020-09-05,2114.1892966426285,134.0529681740619
2020-09-06,1023.5004369054974,201.8763107281078
2020-09-07,250.3532381563342,187.63107264151196
2020-09-08,448.9084452106925,818.3369168558622
2020-09-09,5099.573109879714,823.3164158406283
2020-09-10,3722.4357196279834,0.0
2020-09-11,233.3817558176815,0.0
2020-09-12,594.7312218784577,0.0
2020-09-13,541.6051756623798,0.0
2020-09-14,1345.5258469006358,10.52197416296525
2020-09-15,865.1997756278523,39.71812133517668
2020-09-16,1292.4435608548729,57.13232455970812
2020-09-17,3068.8600669294256,142.90710992296732
2020-09-18,1812.7606055834406,27.38943015226992
2020-09-19,657.5007599724686,0.0
2020-09-20,575.8928431077455,0.0
2020-09-21,1757.266184442026,99.03722682186373
2020-09-22,3137.8980056750993,166.02915344323333
2020-09-23,4345.566260218642,204.7170985960262
2020-09-24,3455.838634172465,218.62054081906527
2020-09-25,1344.7727972982775,3.1563658333841413
2020-09-26,1034.4594580325227,0.0
2020-09-27,850.4745466365468,15.544166635833333
2020-09-28,2159.471023132321,373.9552340133285
2020-09-29,3056.724825136698,303.94087738674233
2020-09-30,5713.390329779444,183.6545935862423
2020-10-01,3761.0254094896845,36.737804250570555
2020-10-02,1042.7967942034995,83.58700968864206
2020-10-03,556.716823852273,3.4104145563631496
2020-10-04,2835.0102712724783,21.57563413431369
2020-10-05,3656.441923328021,293.60358499882494
2020-10-06,1463.441572769043,50.01939300850133
2020-10-07,3537.778099350133,346.228075628766
2020-10-08,4404.920228427711,939.2549565120335
2020-10-09,5946.681642329869,805.7295618957825
2020-10-10,5121.66797192056,927.5820677362959
2020-10-11,3386.494378101232,329.91945974056244
2020-10-12,2691.360106695064,238.9185029815651
2020-10-13,1668.803530259088,2.4433333366666665
2020-10-14,2525.6737702170863,62.0121318447743
2020-10-15,1669.4323426273913,3.273621427322466
2020-10-16,1312.6667792222743,2.928624717171516
2020-10-17,2128.3718299758225,13.434166776666666
2020-10-18,3230.7522515297132,1326.6617019954751
2020-10-19,3256.8310132108804,231.23309877888022
2020-10-20,1262.201746066527,84.06138084233848
2020-10-21,2697.421472565211,4.960862840719429
2020-10-22,3951.7782263047393,843.4785345108686
2020-10-23,2968.571721021511,210.10145706272584
2020-10-24,105.24658483091329,29.875820363034656
2020-10-25,2853.3683956316154,511.54151732799625
2020-10-26,5504.279589653134,520.2191748616074
2020-10-27,7346.028061200829,183.11589005158052
2020-10-28,3124.070998329176,0.0
2020-10-29,3660.267165775823,0.0
2020-10-30,2760.176712567693,0.0
2020-10-31,727.1653779961886,0.0
2020-11-01,753.3482638499347,12.235036758333333
2020-11-02,258.7231013429182,0.0
2020-11-03,579.5818752235365,39.68629416924657
2020-11-04,287.60992597037574,0.0
2020-11-05,67.37623352109918,0.0
2020-11-06,19.7404328925,0.0
2020-11-07,551.0087034765024,148.85098339842992
2020-11-08,1302.8982686698685,210.02908043733964
2020-11-09,4130.678305207096,18.785839374166667
2020-11-10,6108.492830937847,29.595275320946456
2020-11-11,2634.0684351096693,2.3241911044976775
2020-11-12,183.3475075981178,0.09499999916666665
2020-11-13,1169.1319750148048,361.433315906654
2020-11-14,3874.4924490626227,425.7861569286786
2020-11-15,484.2205317877599,70.67627921467054
2020-11-16,2708.3049653270605,23.053021202027068
2020-11-17,1050.640357436175,230.762786288999
2020-11-18,4550.97738368865,855.5345629665944
2020-11-19,2121.026552084726,1312.57561058534
2020-11-20,1946.8798302990042,0.0
2020-11-21,137.40698997084613,8.169999985833332
2020-11-22,2551.530085853617,18.69499999583333
2020-11-23,1365.194483203421,1577.4908478589296
2020-11-24,1836.4500327762858,207.30382832136976
2020-11-25,1219.3808605621168,1507.7190378264427
2020-11-26,4438.319880941201,1042.902927921487
2020-11-27,8388.069450427709,929.9144865640436
2020-11-28,1096.6211950059928,176.8090880397548
2020-11-29,890.7558746479211,271.9386202003925
2020-11-30,747.3201697610853,10.876666635833333
2020-12-01,2118.5910907687994,8.872134924238924
