Year,Spring_Daily_Avg_MWh,NonSpring_Daily_Avg_MWh
2020,7392.871057767873,2191.499626495984
2021,7282.104926197396,1918.543584943363
2022,13368.721074206931,2064.8372192600605
2023,14045.727322467432,2582.5546634001003
2024,18150.599016645956,3175.051791465983
2025,19243.505241234645,4178.351600655247
