Date,Local,System
2022-04-01,10125.417439590166,320.50519778162663
2022-04-02,9499.070547833464,12378.207409307195
2022-04-03,9252.785590469564,7525.189182700205
2022-04-04,13146.92004577737,59.01336197166666
2022-04-05,16051.378924835197,6788.9424579254155
2022-04-06,11125.63135563111,120.5937659656294
2022-04-07,6517.701485849388,7.407951881666666
2022-04-08,4293.243861613861,14.092615900000167
2022-04-09,36667.52985007368,67.02722918789125
2022-04-10,33290.60146476063,1928.7733183762557
2022-04-11,7553.686648282441,39.77298135833333
2022-04-12,41237.74466206118,14.606058971339332
2022-04-13,31139.63363833392,1694.8121424973476
2022-04-14,23301.22676846024,13.580993931666669
2022-04-15,28707.70384747728,14.496245226922683
2022-04-16,24918.09810289776,1667.5139541448048
2022-04-17,39229.24968213907,1649.9621587802142
2022-04-18,13569.36539987469,16.568810805834083
2022-04-19,9271.324811950191,7.463643013333333
2022-04-20,17988.3561519771,125.492667966889
2022-04-21,15895.79955437616,8.571259931666667
2022-04-22,9425.159096845244,23.830006913914406
2022-04-23,9305.051737805092,20696.38520486321
2022-04-24,11906.022170591154,1.209140358333333
2022-04-25,4906.039423858697,12.0783352808337
2022-04-26,3820.8096032279777,989.3720250914624
2022-04-27,11936.854326216742,2078.374774504417
2022-04-28,19667.145611266784,5544.557796321311
2022-04-29,11845.784798822402,45.13344457702718
2022-04-30,8475.655630174771,7548.00572891353
2022-05-01,26801.23626538488,15535.12209876965
2022-05-02,14208.881530746998,974.6346272413872
2022-05-03,13140.701235559463,138.0255796480025
2022-05-04,6445.705654477146,3.0266362824999997
2022-05-05,6386.307573789459,15.411174306666672
2022-05-06,9431.506709891462,78.31487304488948
2022-05-07,13227.03292989182,13860.942467240757
2022-05-08,27525.79708002,2487.9538166197035
2022-05-09,23889.10747537962,9541.208027548566
2022-05-10,15779.065101908503,2235.045341863331
2022-05-11,38760.23341552804,86.4116763616325
2022-05-12,20755.599011852428,99.10685632833332
2022-05-13,6546.243290189014,21.28237015583333
2022-05-14,5598.699496874532,100.60488299807147
2022-05-15,3817.4472068815257,174.32016447008365
2022-05-16,4217.066462183642,80.13290465487644
2022-05-17,7348.37338143569,143.3949882695118
2022-05-18,4414.410298053867,19.283736993233873
2022-05-19,13307.916523844568,27.962991457103456
2022-05-20,6398.145169731254,349.2089511112513
2022-05-21,6935.189128978583,264.4705316676677
2022-05-22,18826.62048896912,1327.405321022576
2022-05-23,7042.425710308642,8.441666945833331
2022-05-24,1938.5857798714796,4.0300557308333325
2022-05-25,4073.9945367785294,98.7913171088693
2022-05-26,3425.1820070729077,5.591834329166666
2022-05-27,2059.1187570492616,1850.3851329872264
2022-05-28,3749.283836223055,9353.103997422088
2022-05-29,5622.352742654077,45864.267709344065
2022-05-30,13345.94702660669,17291.54738830392
2022-05-31,4927.371562097717,293.578865945689
2022-06-01,2439.1967713605723,50.355016397195286
2022-06-02,1199.3457108340515,75.59542653481843
2022-06-03,1336.4224325992632,566.0567006481408
2022-06-04,9919.550550828022,3286.6644260026096
2022-06-05,5886.529490675843,9672.420971697951
2022-06-06,1893.085030315952,1186.345423166963
2022-06-07,895.0933759008894,469.8846393948956
2022-06-08,934.167842619182,128.54426708830132
2022-06-09,684.1208837387989,26.546461445833497
2022-06-10,1006.7835922657544,22.960191854448695
2022-06-11,922.4129265143428,64.38060777315499
2022-06-12,894.0434820816397,871.1985391844877
2022-06-13,1023.5851187541476,13050.914764464898
2022-06-14,3634.5166095828945,17782.79159892271
2022-06-15,1279.2922715007703,43.141737619792806
2022-06-16,2094.246054301569,237.1552675780186
2022-06-17,978.2023271651688,1513.9789387052024
2022-06-18,1961.932202184181,39850.49894028309
2022-06-19,5125.857114375886,41404.663105889944
2022-06-20,7076.1067310821345,246.06576191504516
2022-06-21,1091.0726710534486,94.39723293692356
