Date,Reason,Curtailment (MWh)
2022-04-01,Local,10148.356593285032
2022-04-01,System,322.18936454996
2022-04-02,Local,9632.52882354626
2022-04-02,System,12954.765747553902
2022-04-03,Local,9461.517373706334
2022-04-03,System,7757.706849948539
2022-04-04,Local,13201.477740449898
2022-04-04,System,69.87086171666667
2022-04-05,Local,16189.953263515008
2022-04-05,System,7090.779963276203
2022-04-06,Local,13381.036666584789
2022-04-06,System,122.24793263229607
2022-04-07,Local,8338.24517258949
2022-04-07,System,8.553785215
2022-04-08,Local,4316.410355432145
2022-04-08,System,14.360949233333502
2022-04-09,Local,38225.58106978229
2022-04-09,System,92.97194553153099
2022-04-10,Local,33885.84410476721
2022-04-10,System,2188.9823009227885
2022-04-11,Local,9266.844679439388
2022-04-11,System,41.42723607695053
2022-04-12,Local,42639.57961170799
2022-04-12,System,134.0787986155384
2022-04-13,Local,31569.607872154746
2022-04-13,System,1768.913643004398
2022-04-14,Local,24774.40275261599
2022-04-14,System,25.670128686666665
2022-04-15,Local,29602.96143904045
2022-04-15,System,17.569578560256016
2022-04-16,Local,27161.15697809975
2022-04-16,System,1751.4578739558067
2022-04-17,Local,39963.23233290864
2022-04-17,System,1678.2463468502142
2022-04-18,Local,15735.125958951201
2022-04-18,System,17.838789680834083
2022-04-19,Local,11725.970080270814
2022-04-19,System,7.463643013333333
2022-04-20,Local,20471.629044227248
2022-04-20,System,133.36216776105564
2022-04-21,Local,17991.130005951298
2022-04-21,System,12.377926278333334
2022-04-22,Local,9580.657438324695
2022-04-22,System,38.25667284224774
2022-04-23,Local,9345.77219582271
2022-04-23,System,21874.135867548313
2022-04-24,Local,11959.218576951667
2022-04-24,System,7.6399738825
2022-04-25,Local,5210.67921992929
2022-04-25,System,12.078335280833699
2022-04-26,Local,4414.501468376705
2022-04-26,System,1001.0275251664624
2022-04-27,Local,12541.203090449453
2022-04-27,System,2122.933555045783
2022-04-28,Local,20057.07875476703
2022-04-28,System,5754.361923398855
2022-04-29,Local,11959.111322928833
2022-04-29,System,60.65651616702718
2022-04-30,Local,8533.845201182077
2022-04-30,System,7808.6247178551375
2022-05-01,Local,27885.76038190383
2022-05-01,System,16898.581963654044
2022-05-02,Local,14248.182963651048
2022-05-02,System,1099.5213287582196
2022-05-03,Local,13159.74442908094
2022-05-03,System,144.7555797830025
2022-05-04,Local,6488.262471944798
2022-05-04,System,7.120833879166666
2022-05-05,Local,6386.307573789459
2022-05-05,System,18.437810589166673
2022-05-06,Local,9436.17362655813
2022-05-06,System,87.20552670444059
2022-05-07,Local,14031.503507388212
2022-05-07,System,15006.80199029846
2022-05-08,Local,28432.557451172204
2022-05-08,System,2721.562459699319
2022-05-09,Local,24242.173556392747
2022-05-09,System,11061.26634948085
2022-05-10,Local,15819.15084236507
2022-05-10,System,2323.3218734760685
2022-05-11,Local,40332.97902109967
2022-05-11,System,103.42603341163249
2022-05-12,Local,20788.27210550775
2022-05-12,System,100.621499315
2022-05-13,Local,6534.7777061298475
2022-05-13,System,21.634036934999997
2022-05-14,Local,5610.145024483277
2022-05-14,System,99.76838272473816
2022-05-15,Local,3888.1844504610126
2022-05-15,System,175.01499765008367
2022-05-16,Local,4286.490632528088
2022-05-16,System,84.82326840315064
2022-05-17,Local,7304.915147880963
2022-05-17,System,159.77665530367847
2022-05-18,Local,4486.495512767267
2022-05-18,System,39.15123554073387
2022-05-19,Local,13553.902302548406
2022-05-19,System,30.08715821293679
2022-05-20,Local,7488.62600722878
2022-05-20,System,378.85880455791795
2022-05-21,Local,6951.220629058916
2022-05-21,System,271.49541535506364
2022-05-22,Local,18997.22794928579
2022-05-22,System,1376.4124169318468
2022-05-23,Local,7062.486210616975
2022-05-23,System,14.290833946666664
2022-05-24,Local,2108.9652507586793
2022-05-24,System,2.408389050833333
2022-05-25,Local,4250.610485099434
2022-05-25,System,111.5129842063693
2022-05-26,Local,3427.622593846557
2022-05-26,System,6.378211156666666
2022-05-27,Local,2227.825139118535
2022-05-27,System,1930.6311176100962
2022-05-28,Local,3851.6862808496767
2022-05-28,System,9692.912752793383
2022-05-29,Local,5934.082414161019
2022-05-29,System,50739.35673327069
2022-05-30,Local,13806.527271693607
2022-05-30,System,18317.686965751323
2022-05-31,Local,5354.275905728396
2022-05-31,System,294.98060932485566
2022-06-01,Local,2445.2656009255875
2022-06-01,System,54.78378916052861
2022-06-02,Local,1190.9909971123848
2022-06-02,System,79.10332035231843
2022-06-03,Local,1350.7544065708987
2022-06-03,System,524.2803754583688
2022-06-04,Local,10041.552967824944
2022-06-04,System,3540.0140651795086
2022-06-05,Local,5982.882823589177
2022-06-05,System,9919.437374681926
2022-06-06,Local,1901.785748251082
2022-06-06,System,1242.7216192416683
2022-06-07,Local,910.3547772291747
2022-06-07,System,470.6331743173956
2022-06-08,Local,952.4111379751847
